0.02,-0.0595,-0.0198333,-0.000396667,-1.19e-005
0.04,0.0399,7.7778e-005,-0.000395111,-1.97867e-005
0.06,0.0398,0.0133185,-0.000128741,-1.96978e-005
0.08,0.0472,0.0246123,0.000363506,-7.50518e-006
0.1,0.0471,0.0321082,0.00100567,1.90299e-005
0.12,0.0521,0.0387722,0.00178111,6.24066e-005
0.14,0.042,0.0398481,0.00257808,0.000121938
0.16,0.0494,0.0430321,0.00343872,0.000199318
0.18,0.0593,0.0484547,0.00440781,0.000297166
0.2,0.0593,0.0520698,0.00544921,0.000416564
0.22,0.0642,0.0561132,0.00657147,0.000559216
0.24,0.0766,0.0629421,0.00783031,0.000728411
0.26,0.0841,0.0699948,0.00923021,0.000927014
0.28,0.0815,0.0738298,0.0107068,0.00115592
0.3,0.0814,0.0763532,0.0122339,0.00141586
0.32,0.0664,0.0730355,0.0136946,0.00170436
0.34,0.0463,0.0641236,0.0149771,0.00201673
0.36,0.0387,0.0556491,0.01609,0.00234966
0.38,0.0237,0.0449994,0.01699,0.00269846
0.4,0.0161,0.0353663,0.0176973,0.00305948
0.42,0.006,0.0255775,0.0182089,0.00342877
0.44,0.011,0.0207184,0.0186233,0.00380538
0.46,0.0159,0.0191122,0.0190055,0.00418931
0.48,0.0083,0.0155082,0.0193157,0.00457873
0.5,0.0208,0.0172721,0.0196611,0.00497541
0.52,0.0257,0.0200814,0.0200627,0.00538068
0.54,0.0332,0.0244543,0.0205518,0.00579661
0.56,0.0456,0.0315028,0.0211819,0.00622654
0.58,0.0755,0.0461685,0.0221053,0.00667788
0.6,0.101,0.0644457,0.0233942,0.00715865
0.62,0.105,0.0779638,0.0249534,0.00767332
0.64,0.115,0.0903092,0.0267596,0.00822657
0.66,0.1,0.0935394,0.0286304,0.00881789
0.68,0.103,0.0966929,0.0305643,0.00944851
0.7,0.0926,0.0953286,0.0324709,0.010117
0.72,0.0851,0.0919191,0.0343092,0.0108216
0.74,0.075,0.0862793,0.0360348,0.0115595
0.76,0.0575,0.0766862,0.0375685,0.0123262
0.78,0.0549,0.0694241,0.038957,0.0131192
0.8,0.0649,0.0679161,0.0403154,0.0139391
0.82,0.0723,0.0693774,0.0417029,0.0147871
0.84,0.0772,0.0719849,0.0431426,0.0156643
