-0.0595,-0.00340497
0.0399,-0.00240343
0.0398,-0.000390201
0.0472,0.00297868
0.0471,0.00733011
0.0521,0.0128137
0.042,0.0185165
0.0494,0.0250407
0.0593,0.0325246
0.0593,0.0404305
0.0642,0.0488288
0.0766,0.0580459
0.0841,0.067854
0.0815,0.0775985
0.0814,0.0871183
0.0664,0.0953292
0.0463,0.101406
0.0387,0.105483
0.0237,0.106912
0.0161,0.105795
0.006,0.101911
0.011,0.0960582
0.0159,0.0885647
0.0083,0.0790759
0.0208,0.0688534
0.0257,0.05805
0.0332,0.047223
0.0456,0.0371084
0.0755,0.0292434
0.101,0.0242405
0.105,0.0215336
0.115,0.0215581
0.1,0.0230424
0.103,0.0265601
0.0926,0.0312658
0.0851,0.0369119
0.075,0.0429928
0.0575,0.0486696
0.0549,0.0542328
0.0649,0.0602045
0.0723,0.0665226
0.0772,0.0730597
0.0947,0.0804892
0.0896,0.0877386
0.0871,0.0946561
0.0745,0.100441
0.0645,0.104822
0.0494,0.107197
0.0369,0.107345
0.0043,0.103874
-0.0058,0.0974672
-0.0058,0.0887051
-0.0058,0.0778815
-0.0009,0.0656125
0.0315,0.0539444
0.0615,0.0438141
0.0839,0.0357328
0.0714,0.0283934
0.0338,0.0202074
-0.0262,0.00919064
-0.0862,-0.00578095
-0.0688,-0.0212675
-0.0439,-0.0360068
-0.0164,-0.0488906
0.0236,-0.0582613
0.051,-0.0637287
0.0384,-0.066893
0.0134,-0.068772
-0.0266,-0.0708401
-0.0792,-0.0747534
-0.0392,-0.076361
0.0007,-0.0747111
0.0507,-0.0683819
0.0306,-0.0604526
0.0031,-0.0520945
-0.0244,-0.0442111
-0.042,-0.0370987
-0.0345,-0.0299093
-0.0395,-0.0233528
-0.0171,-0.0161278
-0.0196,-0.00930402
0.0054,-0.0015266
0.0278,0.00745324
0.0528,0.0180769
0.1,0.0319196
0.128,0.0486053
0.15,0.0679795
0.18,0.0904776
0.163,0.113496
0.168,0.137282
0.13,0.158884
0.103,0.177524
0.0675,0.191679
0.0349,0.200427
-0.0051,0.202496
-0.0551,0.196487
-0.115,0.181002
-0.0952,0.159807
-0.0502,0.135545
-0.0052,0.110034
0.0172,0.0837718
0.0222,0.0569945
-0.0053,0.0286472
-0.0426,-0.00175962
-0.0578,-0.0330643
-0.0379,-0.062829
0.0046,-0.0885779
0.0396,-0.109177
0.0696,-0.123699
0.0845,-0.132101
0.072,-0.13557
0.0445,-0.13535
0.022,-0.131961
-0.0055,-0.126436
-0.043,-0.120233
-0.0455,-0.112459
-0.0556,-0.103852
-0.0706,-0.0951856
-0.0606,-0.0856175
-0.0381,-0.0744511
-0.0081,-0.0610274
0.0094,-0.045724
0.0468,-0.0274079
0.0368,-0.00841597
0.0468,0.011655
0.0618,0.0328061
0.0743,0.0547067
